"","DRUG_ID","SCREENING_SITE","DRUG_NAME","SYNONYMS","TARGET","TARGET_PATHWAY","drug_name","subtype","value","comparison","comparison_b","comparison_c"
"92",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","EMT",-0.222399345010524,"Favourable","Favourable",NA
"93",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","High_cal",0.0648717188868077,"Unfavourable","Unfavourable",NA
"94",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","STAD_GS",0.311652356998331,"Unfavourable","Unfavourable",NA
"95",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","STAD_MSI",-0.242417298674973,"Favourable","Favourable",NA
"96",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","STAD_CIN",0.055994816533322,"Unfavourable","Unfavourable","Unfavourable"
"97",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","MSS_TP53pos",0.175374527687372,"Unfavourable","Unfavourable",NA
"98",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","STAD_EBV",0.00114976999512807,"Favourable","Favourable",NA
"99",1924,"SANGER","Ipatasertib","GDC0068, GDC 0068, GDC-0068","AKT1, AKT, AKT3","PI3K/MTOR signaling","GDC.0068..GDSC2.1924.","MSS_TP53neg",-0.252161124788539,"Favourable",NA,"Favourable"
"100",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","High_cal",0.0813814603942025,"Unfavourable","Unfavourable",NA
"101",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","MSS_TP53pos",0.382220669926137,"Unfavourable","Unfavourable",NA
"102",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","MSI",-0.12233547075901,"Unfavourable","Unfavourable","Unfavourable"
"103",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","EMT",-0.432289508033747,"Favourable","Favourable",NA
"104",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","STAD_CIN",0.0188431392116898,"Unfavourable","Unfavourable","Unfavourable"
"105",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","STAD_EBV",-0.257540628851724,"Favourable","Favourable",NA
"106",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","MSS_TP53neg",-0.0365940953884836,"Favourable",NA,"Favourable"
"107",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","STAD_MSI",-0.00381190589258553,"Favourable","Favourable",NA
"108",1926,"SANGER","GNE-317","GNE317, GNE 317","PI3Kalpha","PI3K/MTOR signaling","GNE317..GDSC2.1926.","STAD_GS",0.171609668087124,"Unfavourable","Unfavourable",NA
"109",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","MSI",-0.0569482036949192,"Unfavourable","Unfavourable","Unfavourable"
"110",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","STAD_GS",0.268283725362281,"Unfavourable","Unfavourable",NA
"111",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","MSS_TP53neg",-0.10369197844356,"Favourable",NA,"Favourable"
"112",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","STAD_CIN",0.0699116912783031,"Unfavourable","Unfavourable","Unfavourable"
"113",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","MSS_TP53pos",0.140978469632065,"Unfavourable","Unfavourable",NA
"114",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","STAD_MSI",-0.0882223218747838,"Favourable","Favourable",NA
"115",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","High_cal",0.129198742761224,"Unfavourable","Unfavourable",NA
"116",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","STAD_EBV",-0.353482210553438,"Favourable","Favourable",NA
"117",2106,"SANGER","Uprosertib","GSK2141795, GSK2141795C, GSK-2141795","AKT1, AKT2, AKT3","PI3K/MTOR signaling","uprosertib..GDSC2.2106.","EMT",-0.0452245146010553,"Favourable","Favourable",NA
