"","Accuracy","Kappa","Brier_score","Model","FS"
"acrg_models19.3",0.706896551724138,0.595570139458573,0.553599139529159,"NB SVM","SVM"
"acrg_models19.4",0.810344827586207,0.741071428571428,0.352279782864089,"NB SVM","SVM"
"acrg_models19.5",0.810344827586207,0.741281427412814,0.299084558318928,"NB SVM","SVM"
"acrg_models19.6",0.793103448275862,0.717303005686434,0.386551863863962,"NB SVM","SVM"
"acrg_models19.7",0.672413793103448,0.55884707766213,0.551818538169,"NB SVM","SVM"
"acrg_models19.8",0.741379310344828,0.642269736842105,0.439412243918968,"NB SVM","SVM"
"acrg_models19.9",0.741379310344828,0.646053702196908,0.485643392381142,"NB SVM","SVM"
"acrg_models19.10",0.672413793103448,0.556717618664521,0.615343077045888,"NB SVM","SVM"
"acrg_models2.1",0.758620689655172,0.668300653594771,0.294803074217438,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.2",0.793103448275862,0.714285714285714,0.313218255643733,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.3",0.793103448275862,0.71,0.334437208365274,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.4",0.810344827586207,0.739591836734694,0.267381637886017,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.5",0.758620689655172,0.668029435813573,0.295529088621714,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.6",0.810344827586207,0.738952536824877,0.335825843440526,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.7",0.741379310344828,0.646628757108042,0.362441666528025,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.8",0.706896551724138,0.584317032040472,0.475983663212594,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.9",0.793103448275862,0.716842961757526,0.288688486968787,"Elastic Net Elastic Net","Elastic Net"
"acrg_models2.10",0.672413793103448,0.549468520032707,0.464642620901299,"Elastic Net Elastic Net","Elastic Net"
"acrg_models20.1",0.879310344827586,0.834959349593496,0.201775034482759,"RF SVM","SVM"
"acrg_models20.2",0.793103448275862,0.715686274509804,0.258015862068966,"RF SVM","SVM"
"acrg_models20.3",0.844827586206897,0.784653465346535,0.232831862068966,"RF SVM","SVM"
"acrg_models20.4",0.896551724137931,0.858880778588808,0.187743586206897,"RF SVM","SVM"
"acrg_models20.5",0.827586206896552,0.759933774834437,0.285757379310345,"RF SVM","SVM"
"acrg_models20.6",0.810344827586207,0.738952536824877,0.302178896551724,"RF SVM","SVM"
"acrg_models20.7",0.810344827586207,0.735927152317881,0.349838068965517,"RF SVM","SVM"
"acrg_models20.8",0.810344827586207,0.735269709543568,0.269623172413793,"RF SVM","SVM"
"acrg_models20.9",0.810344827586207,0.732606873428332,0.307275034482759,"RF SVM","SVM"
"acrg_models20.10",0.793103448275862,0.71638141809291,0.270786896551724,"RF SVM","SVM"
"acrg_models21.1",0.896551724137931,0.857260049220673,0.182583297148918,"GBM SVM","SVM"
"acrg_models21.2",0.810344827586207,0.740861088545898,0.287881284633153,"GBM SVM","SVM"
"acrg_models21.3",0.896551724137931,0.855721393034826,0.186900914247182,"GBM SVM","SVM"
"acrg_models21.4",0.913793103448276,0.881729200652528,0.149845262031937,"GBM SVM","SVM"
"acrg_models21.5",0.827586206896552,0.761513157894737,0.307126558765155,"GBM SVM","SVM"
"acrg_models21.6",0.862068965517241,0.809680065627564,0.254900824473507,"GBM SVM","SVM"
"acrg_models21.7",0.810344827586207,0.737015663643858,0.313219763943218,"GBM SVM","SVM"
"acrg_models21.8",0.810344827586207,0.738524590163934,0.299296819618064,"GBM SVM","SVM"
"acrg_models21.9",0.810344827586207,0.733277591973244,0.316937413950409,"GBM SVM","SVM"
"acrg_models21.10",0.827586206896552,0.762489762489762,0.27436971594696,"GBM SVM","SVM"
"acrg_models22.1",0.758620689655172,0.658823529411765,0.382902298850575,"KNN SVM","SVM"
"acrg_models22.2",0.706896551724138,0.584317032040472,0.394372006704981,"KNN SVM","SVM"
"acrg_models22.3",0.672413793103448,0.538525963149079,0.372260536398467,"KNN SVM","SVM"
"acrg_models22.4",0.741379310344828,0.637801831806828,0.348199233716475,"KNN SVM","SVM"
"acrg_models22.5",0.689655172413793,0.569661995053586,0.407407407407407,"KNN SVM","SVM"
"acrg_models22.6",0.793103448275862,0.707317073170732,0.316304810557684,"KNN SVM","SVM"
"acrg_models22.7",0.689655172413793,0.562447611064543,0.435823754789272,"KNN SVM","SVM"
"acrg_models22.8",0.775862068965517,0.684254606365159,0.360153256704981,"KNN SVM","SVM"
"acrg_models22.9",0.603448275862069,0.448304383788255,0.484913793103448,"KNN SVM","SVM"
"acrg_models22.10",0.689655172413793,0.571076417419885,0.43632183908046,"KNN SVM","SVM"
"acrg_models23.1",0.844827586206897,0.788834951456311,0.237308135966768,"SVM SVM","SVM"
"acrg_models23.2",0.810344827586207,0.73937908496732,0.289471608839994,"SVM SVM","SVM"
"acrg_models23.3",0.827586206896552,0.761904761904762,0.277646351634702,"SVM SVM","SVM"
"acrg_models23.4",0.862068965517241,0.810457516339869,0.21823613098976,"SVM SVM","SVM"
"acrg_models23.5",0.775862068965517,0.689711934156379,0.28775551994276,"SVM SVM","SVM"
"acrg_models23.6",0.775862068965517,0.690983606557377,0.282120785631216,"SVM SVM","SVM"
"acrg_models23.7",0.775862068965517,0.69374492282697,0.300925490993797,"SVM SVM","SVM"
"acrg_models23.8",0.724137931034483,0.615257048092869,0.388178461813491,"SVM SVM","SVM"
"acrg_models23.9",0.758620689655172,0.666392769104355,0.282445599427766,"SVM SVM","SVM"
"acrg_models23.10",0.741379310344828,0.646628757108042,0.349226791615788,"SVM SVM","SVM"
"acrg_models24.1",0.775862068965517,0.691741618969747,0.287463879144434,"NNET SVM","SVM"
"acrg_models24.2",0.775862068965517,0.691236691236691,0.286487618452884,"NNET SVM","SVM"
"acrg_models24.3",0.810344827586207,0.738095238095238,0.302398396387721,"NNET SVM","SVM"
"acrg_models24.4",0.810344827586207,0.738952536824877,0.295220587835193,"NNET SVM","SVM"
"acrg_models24.5",0.637931034482759,0.506082725060827,0.411187958711499,"NNET SVM","SVM"
"acrg_models24.6",0.793103448275862,0.714754098360656,0.318947269274717,"NNET SVM","SVM"
"acrg_models24.7",0.724137931034483,0.618106995884774,0.368732916694636,"NNET SVM","SVM"
"acrg_models24.8",0.758620689655172,0.664739884393064,0.322576259961293,"NNET SVM","SVM"
"acrg_models24.9",0.810344827586207,0.737232289950577,0.308081302577766,"NNET SVM","SVM"
"acrg_models24.10",0.689655172413793,0.574225122349103,0.379732406661871,"NNET SVM","SVM"
"acrg_models3.1",0.862068965517241,0.812297734627832,0.249337288297845,"NB Elastic Net","Elastic Net"
"acrg_models3.2",0.724137931034483,0.6288,0.519385397150821,"NB Elastic Net","Elastic Net"
"acrg_models3.3",0.793103448275862,0.71405094494659,0.355506165579149,"NB Elastic Net","Elastic Net"
"acrg_models3.4",0.844827586206897,0.787112561174551,0.294521196150452,"NB Elastic Net","Elastic Net"
"acrg_models3.5",0.793103448275862,0.719354838709677,0.376114160594809,"NB Elastic Net","Elastic Net"
"acrg_models3.6",0.758620689655172,0.668300653594771,0.413216251706081,"NB Elastic Net","Elastic Net"
"acrg_models3.7",0.724137931034483,0.625806451612903,0.529688792515476,"NB Elastic Net","Elastic Net"
"acrg_models3.8",0.637931034482759,0.49835255354201,0.631314386184348,"NB Elastic Net","Elastic Net"
"acrg_models3.9",0.741379310344828,0.645187601957586,0.442455001674468,"NB Elastic Net","Elastic Net"
"acrg_models3.10",0.741379310344828,0.647201946472019,0.486801685914883,"NB Elastic Net","Elastic Net"
"acrg_models4.1",0.913793103448276,0.880952380952381,0.213406206896552,"RF Elastic Net","Elastic Net"
"acrg_models4.2",0.775862068965517,0.687136929460581,0.425972413793103,"RF Elastic Net","Elastic Net"
"acrg_models4.3",0.741379310344828,0.632911392405063,0.414717517241379,"RF Elastic Net","Elastic Net"
"acrg_models4.4",0.741379310344828,0.635678391959799,0.407185517241379,"RF Elastic Net","Elastic Net"
"acrg_models4.5",0.827586206896552,0.758333333333333,0.427441655172414,"RF Elastic Net","Elastic Net"
"acrg_models4.6",0.793103448275862,0.707808564231738,0.416221517241379,"RF Elastic Net","Elastic Net"
"acrg_models4.7",0.758620689655172,0.662229617304492,0.349682068965517,"RF Elastic Net","Elastic Net"
"acrg_models4.8",0.741379310344828,0.628839590443686,0.451782896551724,"RF Elastic Net","Elastic Net"
"acrg_models4.9",0.758620689655172,0.657961246840775,0.429755724137931,"RF Elastic Net","Elastic Net"
"acrg_models4.10",0.793103448275862,0.707563025210084,0.423555586206897,"RF Elastic Net","Elastic Net"
"acrg_models5.1",0.896551724137931,0.856435643564356,0.140281434063534,"GBM Elastic Net","Elastic Net"
"acrg_models5.2",0.862068965517241,0.811993517017828,0.202195440293076,"GBM Elastic Net","Elastic Net"
"acrg_models5.3",0.862068965517241,0.806827643630308,0.233623561366674,"GBM Elastic Net","Elastic Net"
"acrg_models5.4",0.879310344827586,0.833878887070376,0.171361864070243,"GBM Elastic Net","Elastic Net"
"acrg_models5.5",0.862068965517241,0.80936729663106,0.210821654110241,"GBM Elastic Net","Elastic Net"
"acrg_models5.6",0.844827586206897,0.785185185185185,0.26766307219716,"GBM Elastic Net","Elastic Net"
"acrg_models5.7",0.793103448275862,0.715918367346939,0.324099589338527,"GBM Elastic Net","Elastic Net"
"acrg_models5.8",0.810344827586207,0.737015663643858,0.285060640169117,"GBM Elastic Net","Elastic Net"
"acrg_models5.9",0.775862068965517,0.688687035507845,0.384100147372188,"GBM Elastic Net","Elastic Net"
"acrg_models5.10",0.844827586206897,0.784830997526793,0.236974843649251,"GBM Elastic Net","Elastic Net"
"acrg_models6.1",0.672413793103448,0.546502057613169,0.390804597701149,"KNN Elastic Net","Elastic Net"
"acrg_models6.2",0.655172413793103,0.529983792544571,0.396781609195402,"KNN Elastic Net","Elastic Net"
"acrg_models6.3",0.758620689655172,0.670454545454545,0.354406130268199,"KNN Elastic Net","Elastic Net"
"acrg_models6.4",0.724137931034483,0.623682076236821,0.417145593869732,"KNN Elastic Net","Elastic Net"
"acrg_models6.5",0.672413793103448,0.548360655737705,0.43396614069691,"KNN Elastic Net","Elastic Net"
"acrg_models6.6",0.706896551724138,0.596232596232596,0.342911877394636,"KNN Elastic Net","Elastic Net"
"acrg_models6.7",0.724137931034483,0.621841890790546,0.407407407407407,"KNN Elastic Net","Elastic Net"
"acrg_models6.8",0.655172413793103,0.521056977704377,0.40301724137931,"KNN Elastic Net","Elastic Net"
"acrg_models6.9",0.655172413793103,0.527302363488182,0.41823754789272,"KNN Elastic Net","Elastic Net"
"acrg_models6.10",0.672413793103448,0.556003223207091,0.427486230842912,"KNN Elastic Net","Elastic Net"
"acrg_models7.1",0.741379310344828,0.646628757108042,0.347745866290434,"SVM Elastic Net","Elastic Net"
"acrg_models7.2",0.810344827586207,0.7383100902379,0.294538568458834,"SVM Elastic Net","Elastic Net"
"acrg_models7.3",0.775862068965517,0.687655343827672,0.290049887037417,"SVM Elastic Net","Elastic Net"
"acrg_models7.4",0.810344827586207,0.739591836734694,0.267776065403311,"SVM Elastic Net","Elastic Net"
"acrg_models7.5",0.827586206896552,0.761904761904762,0.31087619357156,"SVM Elastic Net","Elastic Net"
"acrg_models7.6",0.724137931034483,0.615575807787904,0.340752554546098,"SVM Elastic Net","Elastic Net"
"acrg_models7.7",0.689655172413793,0.579371474617244,0.405818336694765,"SVM Elastic Net","Elastic Net"
"acrg_models7.8",0.741379310344828,0.635983263598326,0.432477412493818,"SVM Elastic Net","Elastic Net"
"acrg_models7.9",0.775862068965517,0.697674418604651,0.300172776527685,"SVM Elastic Net","Elastic Net"
"acrg_models7.10",0.672413793103448,0.54983660130719,0.445019375342866,"SVM Elastic Net","Elastic Net"
"acrg_models8.1",0.741379310344828,0.643734643734644,0.359038216256404,"NNET Elastic Net","Elastic Net"
"acrg_models8.2",0.655172413793103,0.526916802610114,0.414491620738879,"NNET Elastic Net","Elastic Net"
"acrg_models8.3",0.793103448275862,0.713107996702391,0.310897065325645,"NNET Elastic Net","Elastic Net"
"acrg_models8.4",0.810344827586207,0.740228013029316,0.299408824136827,"NNET Elastic Net","Elastic Net"
"acrg_models8.5",0.724137931034483,0.620294599018003,0.330477031825537,"NNET Elastic Net","Elastic Net"
"acrg_models8.6",0.793103448275862,0.715220949263502,0.31928327557776,"NNET Elastic Net","Elastic Net"
"acrg_models8.7",0.758620689655172,0.668029435813573,0.345832902848352,"NNET Elastic Net","Elastic Net"
